,Diagnosis,Relative Frequency
6,Cancer,0.018790570550051247
3,Cardiology,0.2002049880423642
4,Circulatory,0.05842159207379569
7,Diabetes,0.013665869490946362
5,Drug Issue,0.030406559617355656
0,Infection,0.24256918346429793
1,Metal Health,0.2135292107960369
8,Neurological,0.009224461906388794
2,Respiratory,0.20942944994875298
9,Trauma,0.0037581141100102495
