,Diagnosis,Relative Frequency
6,Cancer,0.022907122032486463
2,Cardiology,0.14868804664723032
3,Circulatory,0.10912119950020825
5,Diabetes,0.024156601416076635
7,Drug Issue,0.018325697625989172
1,Infection,0.31403581840899625
8,Metal Health,0.006663890045814244
4,Neurological,0.027488546438983758
0,Respiratory,0.3236151603498542
9,Trauma,0.0049979175343606835
