,Diagnosis,Relative Frequency
7,Cancer,0.017188037126160193
3,Cardiology,0.13853557923685114
4,Circulatory,0.06703334479202475
8,Diabetes,0.013750429700928154
5,Drug Issue,0.020969405293915434
0,Infection,0.303540735647989
2,Metal Health,0.20213131660364386
6,Neurological,0.017188037126160193
1,Respiratory,0.2155379855620488
9,Trauma,0.004125128910278446
