,Diagnosis,Relative Frequency
8,Cancer,0.014147431124348473
2,Cardiology,0.18912881608339538
5,Circulatory,0.051005212211466866
7,Diabetes,0.016381236038719285
4,Drug Issue,0.056217423678332094
0,Infection,0.2498138495904691
3,Metal Health,0.16344005956813104
6,Neurological,0.0189873417721519
1,Respiratory,0.23566641846612063
9,Trauma,0.0052122114668652275
